車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
AQX-7631,68,0,233,121.5459,25.1512,2018/3/12 上午 08:47:14,15,50,100600
AQX-7631,89,0,233,121.5459,25.1512,2018/3/12 上午 08:47:18,0,50,100600
AQX-7631,89,0,233,121.546,25.1512,2018/3/12 上午 08:47:48,10,50,100600
4388-UY,89,0,145,121.5031,25.1359,2018/3/12 上午 08:57:47,10,50,100600
0003-QH,89,0,231,121.5077,25.1252,2018/3/12 上午 09:01:16,25,50,100600
0003-QH,89,0,231,121.5077,25.1252,2018/3/12 上午 09:01:46,0,50,100600
8315-EW,68,0,202,121.5029,25.1359,2018/3/12 上午 09:14:08,22,50,100600
0768-QH,89,0,299,121.5028,25.1359,2018/3/12 上午 09:18:47,11,50,100600
0768-QH,68,0,146,121.5029,25.1359,2018/3/12 上午 09:19:34,,50,100600
0005-QH,68,0,55,121.5066,25.1175,2018/3/12 上午 09:41:23,11,50,100600
0005-QH,89,0,55,121.5066,25.1175,2018/3/12 上午 09:41:47,0,50,100600
3387-QH,89,0,0,121.503,25.1359,2018/3/12 上午 09:41:59,22,50,100600
0005-QH,89,0,99,121.5066,25.1175,2018/3/12 上午 09:42:17,0,50,100600
0003-QH,89,0,317,121.5165,25.1173,2018/3/12 上午 09:43:13,81,50,100600
8315-EW,68,0,181,121.503,25.1359,2018/3/12 上午 09:43:36,,50,100600
0003-QH,89,0,317,121.5166,25.1172,2018/3/12 上午 09:43:43,15,50,100600
0003-QH,89,0,317,121.5166,25.1172,2018/3/12 上午 09:44:13,0,50,100600
0003-QH,89,0,317,121.5166,25.1172,2018/3/12 上午 09:44:43,0,50,100600
0003-QH,89,0,317,121.5166,25.1172,2018/3/12 上午 09:45:13,0,50,100600
0003-QH,89,0,317,121.5166,25.1172,2018/3/12 上午 09:45:43,0,50,100600
0005-QH,68,0,358,121.5092,25.1146,2018/3/12 上午 09:47:14,10,50,100600
0005-QH,89,0,358,121.5092,25.1146,2018/3/12 上午 09:47:25,0,50,100600
0005-QH,89,0,358,121.5092,25.1146,2018/3/12 上午 09:47:55,0,50,100600
0003-QH,68,0,321,121.5222,25.1131,2018/3/12 上午 09:50:32,10,50,100600
0003-QH,89,0,321,121.5223,25.1131,2018/3/12 上午 09:50:43,10,50,100600
0005-QH,68,0,162,121.515,25.1101,2018/3/12 上午 09:54:03,24,50,100600
