車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5473-YD,78,0,0,121.5029,25.1361,2018/3/12 上午 08:15:52,,50,100600
5473-YD,78,0,0,121.5029,25.1361,2018/3/12 上午 08:15:57,,50,100600
5473-YD,78,0,0,121.5029,25.1361,2018/3/12 上午 08:15:59,32,50,100600
AQX-7631,78,0,0,121.546,25.1511,2018/3/12 上午 08:23:14,,50,100600
AQX-7631,78,0,93,121.5491,25.1366,2018/3/12 上午 08:33:08,0,50,100600
3663-QH,78,0,283,121.503,25.136,2018/3/12 上午 08:35:34,,50,100600
3663-QH,78,0,283,121.503,25.136,2018/3/12 上午 08:36:26,,50,100600
3663-QH,78,0,283,121.503,25.136,2018/3/12 上午 08:36:30,,50,100600
0003-QH,78,0,280,121.5029,25.1361,2018/3/12 上午 08:42:08,34,50,100600
4412-UY,78,0,72,121.5029,25.1361,2018/3/12 上午 08:46:27,,50,100600
4412-UY,78,0,72,121.5029,25.1361,2018/3/12 上午 08:46:29,,50,100600
4388-UY,78,0,0,121.5029,25.1361,2018/3/12 上午 08:47:21,,50,100600
4412-UY,78,0,214,121.5029,25.1361,2018/3/12 上午 08:47:58,0,50,100600
5473-YD,78,0,173,121.5029,25.1365,2018/3/12 上午 08:53:54,,50,100600
5473-YD,78,0,173,121.5029,25.1364,2018/3/12 上午 08:53:56,15,50,100600
0003-QH,78,0,280,121.503,25.136,2018/3/12 上午 08:55:17,15,50,100600
4388-UY,78,0,255,121.5029,25.136,2018/3/12 上午 08:55:18,,50,100600
4412-UY,78,0,266,121.5029,25.1361,2018/3/12 上午 08:56:28,,50,100600
4388-UY,78,0,185,121.5029,25.1292,2018/3/12 上午 09:02:33,,50,100600
4388-UY,78,0,185,121.5029,25.1292,2018/3/12 上午 09:02:35,,50,100600
4412-UY,78,0,267,121.5029,25.1362,2018/3/12 上午 09:03:17,,50,100600
4412-UY,78,0,267,121.5029,25.1362,2018/3/12 上午 09:03:19,,50,100600
3663-QH,78,0,283,121.503,25.1361,2018/3/12 上午 09:04:15,,50,100600
3663-QH,78,0,283,121.503,25.1361,2018/3/12 上午 09:04:17,11,50,100600
3663-QH,78,0,66,121.5075,25.1366,2018/3/12 上午 09:09:03,,50,100600
5473-YD,78,0,165,121.503,25.1361,2018/3/12 上午 09:09:19,10,50,100600
5473-YD,78,0,165,121.503,25.1361,2018/3/12 上午 09:09:21,0,50,100600
4412-UY,78,0,229,121.5013,25.1323,2018/3/12 上午 09:09:22,10,50,100600
8315-EW,78,0,0,121.5018,25.1358,2018/3/12 上午 09:10:09,,50,100600
4490-UW,78,0,0,121.5023,25.1355,2018/3/12 上午 09:10:10,0,50,100600
0768-QH,78,0,0,121.5023,25.1355,2018/3/12 上午 09:10:17,0,50,100600
1456-QH,78,0,0,121.5025,25.1353,2018/3/12 上午 09:10:30,24,50,100600
3387-QH,78,0,0,121.5028,25.1355,2018/3/12 上午 09:10:32,,50,100600
3390-QH,78,0,0,121.5023,25.1356,2018/3/12 上午 09:10:40,0,50,100600
1456-QH,78,0,0,121.5025,25.1353,2018/3/12 上午 09:10:40,0,50,100600
1460-QH,78,0,0,121.502,25.1353,2018/3/12 上午 09:10:57,,50,100600
4412-UY,78,0,184,121.5009,25.1297,2018/3/12 上午 09:11:29,0,50,100600
ANN-5972,78,0,0,121.5017,25.1355,2018/3/12 上午 09:12:10,,50,100600
7816-QK,78,0,226,121.5027,25.1354,2018/3/12 上午 09:12:25,,50,100600
4388-UY,78,0,148,121.5123,25.1137,2018/3/12 上午 09:13:32,0,50,100600
3663-QH,78,0,198,121.5104,25.1362,2018/3/12 上午 09:14:10,,50,100600
4388-UY,78,0,150,121.5127,25.1131,2018/3/12 上午 09:15:49,0,50,100600
1456-QH,78,0,0,121.5025,25.1353,2018/3/12 上午 09:16:25,,50,100600
4388-UY,78,0,298,121.5131,25.1127,2018/3/12 上午 09:17:00,,50,100600
4388-UY,78,0,298,121.5131,25.1127,2018/3/12 上午 09:17:02,0,50,100600
3663-QH,78,0,6,121.5132,25.1375,2018/3/12 上午 09:18:19,0,50,100600
0768-QH,78,0,299,121.5028,25.1359,2018/3/12 上午 09:19:07,0,50,100600
4412-UY,78,0,173,121.5017,25.1242,2018/3/12 上午 09:19:25,0,50,100600
4388-UY,78,0,257,121.5141,25.1104,2018/3/12 上午 09:20:28,15,50,100600
4388-UY,78,0,139,121.5156,25.109,2018/3/12 上午 09:23:38,11,50,100600
4412-UY,78,0,66,121.5016,25.1265,2018/3/12 上午 09:23:53,11,50,100600
4412-UY,78,0,342,121.5021,25.1266,2018/3/12 上午 09:25:58,0,50,100600
4388-UY,78,0,134,121.5162,25.1093,2018/3/12 上午 09:28:08,,50,100600
4388-UY,78,0,134,121.5162,25.1093,2018/3/12 上午 09:28:10,,50,100600
4412-UY,78,0,235,121.5012,25.1278,2018/3/12 上午 09:28:37,0,50,100600
5473-YD,78,0,344,121.5155,25.1181,2018/3/12 上午 09:30:00,,50,100600
0005-QH,78,0,48,121.5028,25.1362,2018/3/12 上午 09:30:45,67,50,100600
ANN-5972,78,0,143,121.503,25.1361,2018/3/12 上午 09:31:14,147,50,100600
4388-UY,78,0,242,121.5161,25.1075,2018/3/12 上午 09:32:36,,50,100600
3663-QH,78,0,199,121.5225,25.1487,2018/3/12 上午 09:34:06,0,50,100600
4412-UY,78,0,258,121.4988,25.1309,2018/3/12 上午 09:35:11,,50,100600
4388-UY,78,0,37,121.5196,25.1075,2018/3/12 上午 09:36:08,0,50,100600
3663-QH,78,0,285,121.5229,25.1504,2018/3/12 上午 09:36:13,11,50,100600
0003-QH,78,0,62,121.5197,25.1198,2018/3/12 上午 09:36:43,,50,100600
4388-UY,78,0,36,121.5198,25.1077,2018/3/12 上午 09:37:34,0,50,100600
3387-QH,78,0,0,121.5028,25.1355,2018/3/12 上午 09:39:31,0,50,100600
0768-QH,78,0,72,121.5029,25.1362,2018/3/12 上午 09:40:05,,50,100600
1460-QH,78,0,137,121.503,25.136,2018/3/12 上午 09:41:08,75,50,100600
4490-UW,78,0,0,121.5023,25.1355,2018/3/12 上午 09:41:09,,50,100600
4490-UW,78,0,0,121.5023,25.1355,2018/3/12 上午 09:41:11,0,50,100600
4412-UY,78,0,15,121.4999,25.1261,2018/3/12 上午 09:41:15,0,50,100600
8315-EW,78,0,181,121.503,25.1359,2018/3/12 上午 09:43:35,,50,100600
8315-EW,78,0,181,121.503,25.1359,2018/3/12 上午 09:43:37,11,50,100600
4388-UY,78,0,41,121.5145,25.1083,2018/3/12 上午 09:44:21,10,50,100600
0005-QH,78,0,99,121.5066,25.1175,2018/3/12 上午 09:44:56,0,50,100600
5473-YD,78,0,103,121.5216,25.1138,2018/3/12 上午 09:45:08,,50,100600
4412-UY,78,0,318,121.4995,25.1265,2018/3/12 上午 09:46:50,0,50,100600
5473-YD,78,0,16,121.5217,25.1146,2018/3/12 上午 09:47:35,22,50,100600
4388-UY,78,0,358,121.5141,25.1081,2018/3/12 上午 09:48:47,,50,100600
0768-QH,78,0,214,121.5028,25.1361,2018/3/12 上午 09:48:55,23,50,100600
3663-QH,78,0,195,121.5225,25.1487,2018/3/12 上午 09:49:00,10,50,100600
4490-UW,78,0,219,121.4998,25.1419,2018/3/12 上午 09:49:38,,50,100600
0005-QH,78,0,358,121.5092,25.1146,2018/3/12 上午 09:49:42,0,50,100600
5473-YD,78,0,109,121.5235,25.1148,2018/3/12 上午 09:49:52,11,50,100600
3387-QH,78,0,310,121.5023,25.1194,2018/3/12 上午 09:49:55,10,70,100600
4388-UY,78,0,54,121.5112,25.111,2018/3/12 上午 09:52:23,11,70,100600
4412-UY,78,0,68,121.5016,25.1263,2018/3/12 上午 09:52:42,0,50,100600
4388-UY,78,0,32,121.5114,25.1112,2018/3/12 上午 09:55:20,0,70,100600
0003-QH,78,0,18,121.5225,25.113,2018/3/12 上午 09:56:17,,50,100600
