車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5712-YD,68,0,84,120.3956,23.6036,2018/3/12 上午 09:26:20,10,50,600051
5712-YD,89,0,84,120.3957,23.6036,2018/3/12 上午 09:26:30,10,50,600051
5712-YD,89,0,84,120.3956,23.6036,2018/3/12 上午 09:27:00,10,50,600051
5712-YD,89,0,339,120.3956,23.6037,2018/3/12 上午 09:36:58,0,50,600051
5712-YD,89,0,339,120.3955,23.6037,2018/3/12 上午 09:37:28,10,50,600051
5712-YD,68,0,236,120.4475,23.5233,2018/3/12 下午 01:20:25,204,50,600051
5712-YD,89,0,236,120.4475,23.5233,2018/3/12 下午 01:20:26,0,50,600051
5712-YD,89,0,236,120.4475,23.5234,2018/3/12 下午 01:20:56,11,50,600051
5712-YD,89,0,236,120.4475,23.5233,2018/3/12 下午 01:21:26,0,50,600051
5712-YD,89,0,218,120.4294,23.4723,2018/3/12 下午 01:40:57,122,50,600051
5712-YD,68,0,222,120.4285,23.472,2018/3/12 下午 01:41:47,46,50,600051
5712-YD,89,0,222,120.4285,23.472,2018/3/12 下午 01:41:58,0,50,600051
5712-YD,89,0,222,120.4284,23.4719,2018/3/12 下午 01:42:28,16,50,600051
5712-YD,89,0,222,120.4283,23.4719,2018/3/12 下午 02:03:07,10,50,600051
5712-YD,89,0,222,120.4283,23.4719,2018/3/12 下午 02:03:37,0,50,600051
5712-YD,89,0,37,120.4292,23.4718,2018/3/12 下午 02:05:37,136,50,600051
5712-YD,89,0,37,120.4292,23.4718,2018/3/12 下午 02:06:07,0,50,600051
5712-YD,89,0,344,120.4473,23.5233,2018/3/12 下午 02:25:39,272,50,600051
5712-YD,68,0,344,120.4473,23.5233,2018/3/12 下午 02:25:41,0,50,600051
5712-YD,89,0,344,120.4473,23.5233,2018/3/12 下午 02:26:09,0,50,600051
5712-YD,89,0,344,120.4473,23.5233,2018/3/12 下午 02:26:39,0,50,600051
5712-YD,89,0,344,120.4473,23.5233,2018/3/12 下午 02:27:54,0,50,600051
5712-YD,68,0,123,120.3956,23.6038,2018/3/12 下午 04:59:29,108,50,600051
5712-YD,89,0,123,120.3956,23.6038,2018/3/12 下午 04:59:33,0,50,600051
5712-YD,89,0,123,120.3955,23.6038,2018/3/12 下午 05:00:03,10,50,600051
5712-YD,89,0,344,120.3957,23.6037,2018/3/12 下午 05:01:11,23,50,600051
5712-YD,68,0,344,120.3957,23.6037,2018/3/12 下午 05:01:17,23,50,600051
5712-YD,89,0,344,120.3957,23.6037,2018/3/12 下午 05:01:41,0,50,600051
5712-YD,89,0,344,120.3956,23.6037,2018/3/12 下午 05:02:11,10,50,600051
1473-QH,68,0,288,120.4563,23.6059,2018/3/12 下午 05:18:55,,50,600051
1473-QH,89,0,288,120.4563,23.606,2018/3/12 下午 05:19:04,11,50,600051
1473-QH,89,0,288,120.4563,23.606,2018/3/12 下午 05:19:34,0,50,600051
1473-QH,68,0,288,120.4564,23.606,2018/3/12 下午 05:37:46,,50,600051
