N,E,Capacity
22.753,121.1541,8
22.762,121.1576,1
22.7632,121.1515,1
22.7636,121.1455,2
22.7662,121.1465,1
22.7695,121.1414,1
22.8044,121.1262,1
22.7547,121.1393,2
22.7552,121.1504,4
22.7528,121.1535,1
22.7575,121.1565,1
22.7623,121.1425,2
22.7659,121.1336,1
22.7766,121.1268,1
22.7657,121.1385,1
22.7528,121.1482,2
22.7442,121.138,1
22.7546,121.1514,1
22.7529,121.1538,1
22.753,121.1541,1
22.7529,121.148,1
22.761,121.1559,1
22.7555,121.1503,1
22.7531,121.1539,1
22.7586,121.15,1
22.7689,121.1239,1
22.7682,121.136,1
22.7637,121.1464,1
22.7543,121.146,1
22.7548,121.1393,1
22.7503,121.1491,1
22.7545,121.1512,1
22.7532,121.1542,1
22.7534,121.1304,1
22.7529,121.1543,1
22.7625,121.1423,1
22.7746,121.0846,1
22.7736,121.0699,1
22.769,121.1204,1
22.753,121.1541,1
