車牌,狀態,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
0003-QH,78,0,280,121.5029,25.1361,2018/3/12 上午 08:42:08,34,50,100600
0003-QH,68,0,171,121.5029,25.1358,2018/3/12 上午 10:29:25,10,50,100600
0003-QH,68,0,186,121.5029,25.1359,2018/3/12 下午 03:22:35,,50,100600
0003-QH,89,0,166,121.5029,25.1359,2018/3/12 下午 06:05:52,0,50,100600
0005-QH,78,0,48,121.5028,25.1362,2018/3/12 上午 09:30:45,67,50,100600
0005-QH,89,0,116,121.5029,25.1359,2018/3/12 下午 12:22:09,,50,100600
0005-QH,89,0,186,121.5031,25.1358,2018/3/12 下午 02:17:46,37,50,100600
0005-QH,89,0,7,121.5012,25.1285,2018/3/12 下午 03:26:23,102,50,100600
0005-QH,89,0,140,121.5028,25.1359,2018/3/12 下午 06:05:50,15,50,100600
0006-QH,78,0,0,121.6773,25.0717,2018/3/12 下午 03:50:55,12,70,100600
0768-QH,78,0,0,121.5023,25.1355,2018/3/12 上午 09:10:17,0,50,100600
0768-QH,68,0,198,121.5029,25.1359,2018/3/12 下午 02:34:32,30,50,100600
1456-QH,78,0,0,121.5025,25.1353,2018/3/12 上午 09:10:30,24,50,100600
1456-QH,68,0,167,121.5031,25.1359,2018/3/12 下午 01:20:07,11,50,100600
1460-QH,78,0,0,121.502,25.1353,2018/3/12 上午 09:10:57,,50,100600
1460-QH,68,0,200,121.5028,25.1357,2018/3/12 下午 02:33:57,24,50,100600
3387-QH,78,0,0,121.5028,25.1355,2018/3/12 上午 09:10:32,,50,100600
3390-QH,78,0,0,121.5023,25.1356,2018/3/12 上午 09:10:40,0,50,100600
3663-QH,78,0,283,121.503,25.136,2018/3/12 上午 08:35:34,,50,100600
3663-QH,68,0,198,121.5029,25.1358,2018/3/12 下午 02:52:47,30,50,100600
3663-QH,89,0,180,121.5029,25.1359,2018/3/12 下午 06:09:19,44,50,100600
3663-QH,89,0,164,121.5029,25.1359,2018/3/12 下午 09:48:26,0,50,100600
3670-QH,78,0,0,121.5104,25.1416,2018/3/12 上午 10:23:10,,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:23:15,0,50,100600
3670-QH,89,0,213,121.5092,25.1146,2018/3/12 下午 04:18:53,0,50,100600
3670-QH,89,0,226,121.5076,25.1252,2018/3/12 下午 05:18:59,0,50,100600
4388-UY,78,0,0,121.5029,25.1361,2018/3/12 上午 08:47:21,,50,100600
4388-UY,68,0,155,121.503,25.1359,2018/3/12 下午 01:37:26,23,50,100600
4388-UY,68,0,188,121.503,25.1358,2018/3/12 下午 03:19:17,0,50,100600
4388-UY,89,0,42,121.5032,25.1358,2018/3/12 下午 06:17:24,11,50,100600
4388-UY,89,0,172,121.503,25.1359,2018/3/12 下午 09:44:49,0,50,100600
4412-UY,78,0,72,121.5029,25.1361,2018/3/12 上午 08:46:27,,50,100600
4412-UY,68,0,240,121.5029,25.1359,2018/3/12 上午 11:25:19,10,50,100600
4412-UY,89,0,317,121.5029,25.1359,2018/3/12 下午 12:51:45,11,50,100600
4412-UY,68,0,161,121.503,25.1359,2018/3/12 下午 04:21:25,0,50,100600
4412-UY,68,0,175,121.5029,25.1358,2018/3/12 下午 06:28:00,0,50,100600
4412-UY,89,0,175,121.503,25.1359,2018/3/12 下午 09:32:04,11,50,100600
4490-UW,78,0,0,121.5023,25.1355,2018/3/12 上午 09:10:10,0,50,100600
4490-UW,68,0,188,121.5029,25.1358,2018/3/12 下午 03:04:20,87,50,100600
5470-YD,78,0,0,121.5105,25.1417,2018/3/12 上午 10:02:41,,50,100600
5471-YD,78,0,0,121.5104,25.1416,2018/3/12 上午 10:22:10,,50,100600
5472-YD,78,0,0,121.5104,25.1416,2018/3/12 上午 10:00:23,10,50,100600
5473-YD,78,0,0,121.5029,25.1361,2018/3/12 上午 08:15:52,,50,100600
5473-YD,68,0,185,121.5029,25.1359,2018/3/12 下午 12:35:56,0,50,100600
5473-YD,68,0,313,121.5029,25.1359,2018/3/12 下午 04:10:32,0,50,100600
5473-YD,89,0,139,121.5029,25.1359,2018/3/12 下午 06:26:55,11,50,100600
5473-YD,68,0,137,121.503,25.1359,2018/3/12 下午 08:10:36,,50,100600
5473-YD,68,0,197,121.5029,25.1357,2018/3/12 下午 09:44:56,15,50,100600
7816-QK,78,0,226,121.5027,25.1354,2018/3/12 上午 09:12:25,,50,100600
7816-QK,89,0,0,121.5012,25.1284,2018/3/12 上午 11:10:00,60,50,100600
7816-QK,68,0,319,121.5029,25.1359,2018/3/12 下午 01:04:15,0,50,100600
7816-QK,68,0,213,121.5029,25.1359,2018/3/12 下午 03:50:12,,50,100600
7816-QK,68,0,189,121.5029,25.1358,2018/3/12 下午 05:55:31,,50,100600
8315-EW,78,0,0,121.5018,25.1358,2018/3/12 上午 09:10:09,,50,100600
8315-EW,89,0,141,121.503,25.1359,2018/3/12 下午 02:21:38,15,50,100600
8315-EW,89,0,142,121.5032,25.1359,2018/3/12 下午 04:29:57,23,50,100600
8315-EW,89,0,173,121.5029,25.1359,2018/3/12 下午 06:25:31,11,50,100600
8315-EW,68,0,143,121.503,25.1359,2018/3/12 下午 08:08:20,23,50,100600
8315-EW,68,0,161,121.503,25.1358,2018/3/12 下午 09:41:38,73,50,100600
ANN-5972,78,0,0,121.5017,25.1355,2018/3/12 上午 09:12:10,,50,100600
ANN-5972,68,0,227,121.5031,25.1359,2018/3/12 下午 12:08:22,0,50,100600
ANN-5972,68,0,159,121.503,25.1358,2018/3/12 下午 02:11:52,,50,100600
AQX-7631,78,0,0,121.546,25.1511,2018/3/12 上午 08:23:14,,50,100600
AQX-7631,68,0,358,121.546,25.1512,2018/3/12 下午 02:48:20,0,50,100600
